Site,DissolvedOxygen,WaterTemp,Volume,UnitLength,MaxDepth,Tributary,PoolStudyDate,SampleNumber,AvgWidth,AvgDepth,RiffleCrestThalweg,RiffleLength,PoolTailCrest,Canopy,AlgaeColor,AlgaeCover,RiffleAvgWidth,RiffleAvgDepth,Discharge_cfs,Connected,PoolArea,RiffleArea,Year,CohoYOY_Pass1,CohoParr_Pass1,SteelheadYOY_Pass1,SteelheadParr_Pass1,Date_Pass1,CohoYOY_Pass2,CohoParr_Pass2,SteelheadYOY_Pass2,SteelheadParr_Pass2,Date_Pass2,Observers_Pass1,Observers_Pass2,Average_DO,Average_Temperature,Min_DO,Max_DO,Max_Temperature,ReachType,CohoYOY_MAX,SteelheadYOY_MAX,SteelheadParr_MAX
PS-GRE-P4,8.48,18.2,13.471095,22.79904,49.0728,Green Valley Creek,6/26/2017,2,3.6576,16.1544,10.9728,3.53568,4.572,NA,B,2,1.60528,NA,0.271644469,BOTH,83.389733,5.675753,2017,34,0,14,2,42912,51,0,27,0,6/28/2017,WB,TC,8.211354167,17.11,7.85,8.62,18.22,clay,51,27,2
PS-MIL-P1,9.11,20.5,33.379518,41.69664,58.8264,Mill Creek,6/27/2017,2,3.08991,25.908,14.6304,3.5052,12.8016,NA,M,2,2.80416,NA,3.172917164,BOTH,128.838809,9.829137,2017,0,0,48,6,42913,0,0,80,2,6/28/2017,NB,TC,8.363333333,18.78916667,7.84,9.17,20.62,alluvial,0,80,6
PS-MIL-P2,8.59,20.7,23.619163,19.2024,68.8848,Mill Creek,6/27/2017,2,4.23672,29.0322,9.4488,9.50976,10.0584,NA,B,2,3.64744,NA,3.269877519,BOTH,81.355157,34.686262,2017,4,0,36,0,42913,4,0,38,0,6/28/2017,NB,TC,8.007083333,18.66958333,7.53,8.67,20.68,alluvial,4,38,0
PS-MIL-P3,9.55,18.3,61.088684,33.8328,82.9056,Mill Creek,6/27/2017,2,5.49783,32.8422,21.9456,3.16992,12.8016,NA,NA,1,2.69748,NA,3.186318423,BOTH,186.006903,8.550792,2017,160,0,48,0,42913,172,0,54,0,6/28/2017,NB,TC,9.167395833,18.08291667,8.81,9.61,20.22,bedrock,172,54,0
PS-MIL-P3,9.55,18.3,61.088684,33.8328,82.9056,Mill Creek,6/27/2017,2,5.49783,32.8422,21.9456,3.16992,12.8016,NA,NA,1,2.69748,NA,3.556065781,BOTH,186.006903,8.550792,2017,160,0,48,0,42913,172,0,54,0,6/28/2017,NB,TC,9.167395833,18.08291667,8.81,9.61,20.22,bedrock,172,54,0
PS-MIL-P4,9.33,16,32.441426,19.56816,97.2312,Mill Creek,6/27/2017,2,4.27863,38.7477,17.0688,12.86256,9.144,NA,B,2,4.19608,NA,1.453392881,BOTH,83.72488,53.972305,2017,116,0,24,0,42913,122,0,26,0,6/28/2017,WB,TC,8.924166667,16.69291667,8.6,9.33,18,bedrock,122,26,0
PS-DUT-P1,8.16,17.6,39.36069,40.72128,96.6216,Dutch Bill Creek,6/29/2017,2,3.90906,24.7269,9.7536,8.16864,8.8392,NA,B,1,1.38176,NA,NA,BOTH,159.181858,11.287094,2017,0,0,1,0,42914,0,0,2,0,6/29/2017,TC,ER,7.93875,16.05895833,7.31,8.72,17.58,alluvial,0,2,0
PS-DUT-P2,6.53,17.1,20.392747,25.87752,56.6928,Dutch Bill Creek,6/29/2017,2,3.3147,23.7744,9.7536,12.954,9.144,NA,M,2,2.34696,NA,NA,BOTH,85.776179,30.402507,2017,0,0,9,0,42914,0,0,3,0,6/29/2017,TC,ER,6.3196875,16.63083333,6.08,6.73,17.2,alluvial,0,9,0
PS-DUT-P3,8.83,17.2,22.916594,24.44496,48.768,Dutch Bill Creek,6/29/2017,2,5.02158,18.669,18.5928,14.9352,16.4592,NA,B,2,2.50952,NA,NA,BOTH,122.752269,37.480165,2017,126,0,15,0,42914,78,0,8,4,6/29/2017,TC,ER,8.265520833,16.53416667,7.93,8.93,17.66,alluvial,126,15,4
PS-DUT-P4,9.5,15.1,46.441223,37.4904,95.7072,Dutch Bill Creek,6/29/2017,2,5.12826,24.1554,14.9352,7.0104,7.9248,NA,B,2,3.05816,NA,1.311301273,BOTH,192.260436,21.438915,2017,156,0,16,4,42914,114,3,18,6,6/29/2017,TC,ER,8.960208333,16.03979167,8.2,9.71,17.78,bedrock,156,18,6
