Survey,Date,Tributary,Site,SiteCode,ReachName,ReachCode,UnitNumber,DissolvedOxygen,WaterTemp,RiffleCrestThalweg
Wetted Habitat,05/15/17,Mill Creek,,,,,9,10.41,13.5,-9999
Wetted Habitat,05/15/17,Mill Creek,,,,,10,10.34,13.9,-9999
Wetted Habitat,05/15/17,Mill Creek,,,,,11,10.48,13.8,-9999
Wetted Habitat,05/15/17,Mill Creek,,,,,12,10.4,13.6,-9999
Wetted Habitat,05/15/17,Mill Creek,,,,,13,10.3,13.5,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,1,11.75,11.8,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,2,11.59,11.8,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,3,11.63,11.8,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,4,11.52,11.9,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,5,11.52,12,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,6,11.52,12.1,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,7,11.53,12.2,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,8,11.54,12.6,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,9,11.43,12.6,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,10,11.58,12.9,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,11,10.63,12.9,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,12,10.93,13,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,13,10.94,13,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,14,10.72,13,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,15,10.54,13.2,-9999
Wetted Habitat,05/16/17,Mill Creek,,,,,16,10.31,14,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,1,9.94,15.5,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,2,9.35,15.7,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,3,9.57,15.7,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,4,9.46,15.6,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,5,9.86,16.1,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,6,10.18,16,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,7,10.12,15.8,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,8,9.67,15.9,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,9,9.81,15.9,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,10,9.77,16.1,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,11,9.74,17.1,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,12,9.94,17.6,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,13,10.09,17.2,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,14,10.02,16.9,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,1,9.84,14.9,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,2,9.8,14.7,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,3,9.86,14.7,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,4,9.85,15,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,5,9.98,15.3,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,6,9.93,15,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,7,9.49,15.2,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,8,9.82,15.8,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,9,9.88,15.9,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,10,9.33,16.2,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,11,9.25,16.1,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,12,9.36,15.8,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,13,9.52,15.6,-9999
Wetted Habitat,06/01/17,Mill Creek,,,,,14,9.17,15.9,-9999
Wetted Habitat,09/25/17,Austin Creek,,,AUS 5,RR-AUS-009.86:012.13,1,6.58,15.7,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 5,RR-AUS-009.86:012.13,2,6.97,15.5,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 5,RR-AUS-009.86:012.13,3,6.92,14.3,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 5,RR-AUS-009.86:012.13,4,7.34,14.9,
